referee,num_rounds,title_fight,gender,result,result_details,finish_round,finish_time,event_name,event_date,event_city,event_state,event_country,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
Steve Mazzagatti,3,F,M,Decision,Unanimous,3,5:00,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04,Las Vegas,Nevada,USA,0.0,112.0,63.0,65.0,19.0,8.0,5.0,0.0,1.0,10:17
Herb Dean,5,T,M,Submission,Armbar From Bottom Guard,1,4:41,UFC 164: Henderson vs Pettis 2,2013-08-31,Milwaukee,Wisconsin,USA,0.0,37.0,26.0,16.0,11.0,3.0,0.0,0.0,0.0,3:09
Mario Yamasaki,3,F,M,Decision,Unanimous,3,5:00,UFC on FUEL TV: Korean Zombie vs Poirier,2012-05-15,Fairfax,Virginia,USA,0.0,192.0,87.0,192.0,87.0,3.0,1.0,0.0,0.0,0:31
Kerry Hatley,3,F,M,Decision,Split,3,5:00,UFC 136: Edgar vs Maynard 3,2011-10-08,Houston,Texas,USA,0.0,117.0,89.0,47.0,21.0,9.0,6.0,0.0,0.0,6:51
Troy Waugh,3,F,M,Submission,Armbar From Mount,2,4:43,UFC Fight Night: Lauzon vs Stephens,2009-02-07,Tampa,Florida,USA,0.0,38.0,32.0,17.0,11.0,2.0,2.0,4.0,1.0,5:11
Mario Yamasaki,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Condit vs Kampmann,2009-04-01,Nashville,Tennessee,USA,0.0,65.0,46.0,20.0,7.0,13.0,5.0,3.0,0.0,10:07
Mario Yamasaki,3,F,M,Decision,Split,3,5:00,UFC 113: Machida vs Shogun 2,2010-05-08,Montreal,Quebec,Canada,1.0,187.0,76.0,181.0,70.0,1.0,0.0,1.0,0.0,0:48
Steve Newport,3,F,M,KO/TKO,Punch to Head At Distance,1,1:55,UFC on FOX: Henderson vs Diaz,2012-12-08,Seattle,Washington,USA,1.0,26.0,12.0,21.0,8.0,1.0,0.0,0.0,0.0,0:06
Josh Rosenthal,3,F,M,Decision,Split,3,5:00,UFC 119: Mir vs Cro Cop,2010-09-25,Indianapolis,Indiana,USA,0.0,168.0,73.0,168.0,73.0,1.0,0.0,0.0,0.0,0:00
Steve Mazzagatti,3,F,M,Decision,Unanimous,3,5:00,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04,Las Vegas,Nevada,USA,0.0,107.0,48.0,88.0,32.0,0.0,0.0,1.0,0.0,0:28
Steve Mazzagatti,3,F,M,Decision,Unanimous,3,5:00,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,2008-06-21,Las Vegas,Nevada,USA,0.0,201.0,132.0,104.0,56.0,5.0,1.0,0.0,0.0,8:42
